,Total_Return,Annualized_Return,Volatility,Sharpe_Ratio,Max_Drawdown,Win_Rate,Profit_Factor,Total_Trades,Composite_Score
SMA_50,138.89748978032245,0.33234400425021793,11.797594969140981,0.02817048772394132,-65.34906359946827,48.39661617155223,1.0188947808227018,4904.0,0.985821251867911
EMA_50,123.88624290357973,0.3075398179982036,11.81246151533171,0.026035201689253287,-76.05167980907893,48.39626778774177,1.0184352813791122,5297.0,0.9741365897443275
Composite_Trend_Focus,71.92486643202123,0.20666839714522656,7.1175208422388545,0.029036570700117247,-74.06153428135066,47.729315738376904,1.0212789066714543,13463.0,0.8245220889857292
BB_Trend,30.356379502638674,0.10105291002671102,0.7619161703928026,0.13262995845673367,-6.262561922350347,64.3598615916955,1.5112275731530322,581.0,0.7087054950182713
RSI_Conservative,0.3293403865814115,0.001252708974641692,3.5017930829784065,0.00035773357961408047,-52.31524623975131,55.71084337349398,1.0237578943463186,1519.0,0.4795611584020682
Composite_Balanced,-0.26335875493175287,-0.00100469614351395,0.13033383705009546,-0.007708636270163537,-1.69322453196509,20.0,0.8774037623615605,3.0,0.28755991278987353
BB_Basic,-14.38106853933635,-0.05913686807124119,5.003533762814145,-0.011819020491225934,-61.708042989853475,56.19942573740537,1.0082725630916516,7601.0,0.44157805765723535
SmartMoney_Aggressive,-19.4518474821891,-0.08238048876942905,1.9716579416676034,-0.04178234318867332,-32.93677189218414,51.958224543080945,0.9220199155450469,668.0,0.26141534301318337
SmartMoney_Standard,-19.4518474821891,-0.08238048876942905,1.9716579416676034,-0.04178234318867332,-32.93677189218414,51.958224543080945,0.9220199155450469,668.0,0.26141534301318337
MeanReversion_Aggressive,-21.260747875583007,-0.09102661999260686,4.07774337269287,-0.022322792700045387,-45.57747548681358,55.98697394789579,0.9983070445068152,4721.0,0.343184111891201
SMA_20,-31.46980581465669,-0.14387192497621326,11.80864659539509,-0.012183608325810825,-71.74570053336888,47.34604970578892,1.0101075116226836,8357.0,0.4256558018427058
MACD_Enhanced,-40.57931144276337,-0.1981207445531319,2.8864588371186106,-0.06863799407266263,-53.69535034120996,43.56748224151539,0.939358031760424,4982.0,0.21037841737988217
RSI_Dynamic,-41.227363086651025,-0.20229037255692361,4.673008759427171,-0.04328910622066132,-73.44331690977585,54.38031731432513,0.982746085684436,2889.0,0.33296692328476596
Breakout_Standard,-47.64516946767141,-0.24624658695516777,3.9578738702385916,-0.06221688589088953,-61.59689242578224,44.41431670281995,0.962640618602446,5804.0,0.23140904783156635
MACD_Aggressive,-53.84691959960279,-0.2941525436691794,3.572350375028119,-0.08234145948432174,-61.57855038448445,44.77582065652522,0.9491378115785137,9596.0,0.16796634944553884
MeanReversion_Conservative,-62.74070628853878,-0.3754356658957181,2.9132202468287414,-0.12887307998920025,-65.93774175969213,53.983809118023004,0.8820608983086803,3085.0,0.05191801033102461
Breakout_Sensitive,-63.04825100219369,-0.3785815914735702,4.3276566270642025,-0.08747958169925152,-68.0238654941223,43.86881136411113,0.9492893745765806,7466.0,0.15175172883859533
EMA_20,-86.39332358162221,-0.7570515120000065,11.812630130536968,-0.06408831087015447,-88.26918292393958,47.092715532233434,0.9988532014767675,9151.0,0.206239208514017
